x,lagrange,spline
2.1200,16.4037,16.2790
2.1300,16.4258,16.2977
2.1400,16.4474,16.3161
2.1500,16.4687,16.3341
2.1600,16.4896,16.3518
2.1700,16.5101,16.3692
2.1800,16.5301,16.3862
2.1900,16.5498,16.4029
2.2000,16.5691,16.4192
2.2100,16.5881,16.4352
2.2200,16.6066,16.4509
2.2300,16.6247,16.4663
2.2400,16.6425,16.4813
2.2500,16.6599,16.4961
2.2600,16.6769,16.5105
2.2700,16.6935,16.5247
2.2800,16.7098,16.5385
2.2900,16.7256,16.5521
2.3000,16.7411,16.5653
2.3100,16.7563,16.5783
2.3200,16.7710,16.5909
2.3300,16.7854,16.6033
2.3400,16.7994,16.6155
2.3500,16.8131,16.6273
2.3600,16.8264,16.6389
2.3700,16.8393,16.6502
2.3800,16.8519,16.6613
2.3900,16.8641,16.6721
2.4000,16.8760,16.6826
2.4100,16.8875,16.6929
2.4200,16.8987,16.7029
2.4300,16.9095,16.7128
2.4400,16.9199,16.7223
2.4500,16.9300,16.7317
2.4600,16.9398,16.7408
2.4700,16.9492,16.7497
2.4800,16.9583,16.7583
2.4900,16.9670,16.7668
2.5000,16.9754,16.7750
2.5100,16.9835,16.7830
2.5200,16.9912,16.7908
2.5300,16.9986,16.7984
2.5400,17.0057,16.8059
2.5500,17.0124,16.8131
2.5600,17.0188,16.8201
2.5700,17.0249,16.8270
2.5800,17.0306,16.8336
2.5900,17.0360,16.8401
2.6000,17.0411,16.8464
2.6100,17.0459,16.8525
2.6200,17.0504,16.8585
2.6300,17.0545,16.8643
2.6400,17.0583,16.8700
2.6500,17.0619,16.8754
2.6600,17.0651,16.8808
2.6700,17.0679,16.8860
2.6800,17.0705,16.8910
2.6900,17.0728,16.8959
2.7000,17.0748,16.9007
2.7100,17.0764,16.9053
2.7200,17.0778,16.9099
2.7300,17.0789,16.9142
2.7400,17.0796,16.9185
2.7500,17.0801,16.9227
2.7600,17.0802,16.9267
2.7700,17.0801,16.9306
2.7800,17.0797,16.9344
2.7900,17.0790,16.9382
2.8000,17.0780,16.9418
2.8100,17.0767,16.9453
2.8200,17.0751,16.9488
2.8300,17.0733,16.9521
2.8400,17.0712,16.9554
2.8500,17.0687,16.9586
2.8600,17.0660,16.9617
2.8700,17.0631,16.9648
2.8800,17.0598,16.9678
2.8900,17.0563,16.9707
2.9000,17.0525,16.9736
2.9100,17.0485,16.9764
2.9200,17.0441,16.9792
2.9300,17.0395,16.9819
2.9400,17.0347,16.9846
2.9500,17.0295,16.9872
2.9600,17.0241,16.9898
2.9700,17.0185,16.9924
2.9800,17.0126,16.9950
2.9900,17.0064,16.9975
3.0000,17.0000,17.0000
3.0100,16.9933,17.0025
3.0200,16.9864,17.0050
3.0300,16.9792,17.0074
3.0400,16.9718,17.0099
