x,lagrange,spline
2.130000,16.425778,16.297706
2.140000,16.447444,16.316094
2.150000,16.468712,16.334131
2.160000,16.489584,16.351822
2.170000,16.510061,16.369171
2.180000,16.530146,16.386181
2.190000,16.549839,16.402856
2.200000,16.569143,16.419200
2.210000,16.588059,16.435217
2.220000,16.606588,16.450911
2.230000,16.624734,16.466286
2.240000,16.642496,16.481346
2.250000,16.659877,16.496094
2.260000,16.676879,16.510534
2.270000,16.693503,16.524671
2.280000,16.709751,16.538509
2.290000,16.725624,16.552050
2.300000,16.741125,16.565300
2.310000,16.756255,16.578262
2.320000,16.771015,16.590939
2.330000,16.785407,16.603337
2.340000,16.799434,16.615458
2.350000,16.813096,16.627306
2.360000,16.826395,16.638886
2.370000,16.839334,16.650202
2.380000,16.851913,16.661257
2.390000,16.864134,16.672055
2.400000,16.876000,16.682600
2.410000,16.887511,16.692896
2.420000,16.898670,16.702947
2.430000,16.909478,16.712757
2.440000,16.919936,16.722330
2.450000,16.930047,16.731669
2.460000,16.939812,16.740778
2.470000,16.949233,16.749662
2.480000,16.958311,16.758325
2.490000,16.967048,16.766769
2.500000,16.975446,16.775000
2.510000,16.983507,16.783021
2.520000,16.991232,16.790835
2.530000,16.998623,16.798448
2.540000,17.005681,16.805862
2.550000,17.012408,16.813081
2.560000,17.018807,16.820110
2.570000,17.024878,16.826953
2.580000,17.030623,16.833613
2.590000,17.036044,16.840094
2.600000,17.041143,16.846400
2.610000,17.045921,16.852535
2.620000,17.050380,16.858503
2.630000,17.054521,16.864308
2.640000,17.058347,16.869954
2.650000,17.061859,16.875444
2.660000,17.065059,16.880782
2.670000,17.067948,16.885973
2.680000,17.070528,16.891021
2.690000,17.072801,16.895928
2.700000,17.074768,16.900700
2.710000,17.076431,16.905340
2.720000,17.077792,16.909851
2.730000,17.078852,16.914239
2.740000,17.079614,16.918506
2.750000,17.080078,16.922656
2.760000,17.080247,16.926694
2.770000,17.080122,16.930624
2.780000,17.079704,16.934449
2.790000,17.078997,16.938173
2.800000,17.078000,16.941800
2.810000,17.076716,16.945334
2.820000,17.075147,16.948779
2.830000,17.073294,16.952139
2.840000,17.071159,16.955418
2.850000,17.068743,16.958619
2.860000,17.066049,16.961746
2.870000,17.063078,16.964804
2.880000,17.059831,16.967797
2.890000,17.056310,16.970727
2.900000,17.052518,16.973600
2.910000,17.048455,16.976419
2.920000,17.044123,16.979187
2.930000,17.039525,16.981910
2.940000,17.034661,16.984590
2.950000,17.029533,16.987231
2.960000,17.024144,16.989838
2.970000,17.018494,16.992415
2.980000,17.012586,16.994965
2.990000,17.006421,16.997492
3.000000,17.000000,17.000000
3.010000,16.993326,17.002493
3.020000,16.986400,17.004970
3.030000,16.979224,17.007433
3.040000,16.971799,17.009880
3.050000,16.964127,17.012313
3.060000,16.956210,17.014731
3.070000,16.948050,17.017134
3.080000,16.939648,17.019523
3.090000,16.931006,17.021896
3.100000,16.922125,17.024255
3.110000,16.913007,17.026599
3.120000,16.903655,17.028929
3.130000,16.894069,17.031243
3.140000,16.884251,17.033544
3.150000,16.874203,17.035829
3.160000,16.863927,17.038100
3.170000,16.853424,17.040357
3.180000,16.842696,17.042599
3.190000,16.831744,17.044827
3.200000,16.820571,17.047040
3.210000,16.809178,17.049239
3.220000,16.797567,17.051423
3.230000,16.785739,17.053593
3.240000,16.773696,17.055749
3.250000,16.761440,17.057891
3.260000,16.748972,17.060018
3.270000,16.736294,17.062131
3.280000,16.723408,17.064230
3.290000,16.710315,17.066314
3.300000,16.697018,17.068385
3.310000,16.683517,17.070441
3.320000,16.669815,17.072484
3.330000,16.655913,17.074512
3.340000,16.641812,17.076527
3.350000,16.627516,17.078527
3.360000,16.613024,17.080513
3.370000,16.598339,17.082486
3.380000,16.583463,17.084444
3.390000,16.568397,17.086389
3.400000,16.553143,17.088320
3.410000,16.537702,17.090237
3.420000,16.522077,17.092140
3.430000,16.506269,17.094030
