x,lagrange,spline
2.1200,16.9883,16.2790
2.1300,17.0116,16.2977
2.1400,17.0344,16.3161
2.1500,17.0567,16.3341
2.1600,17.0784,16.3518
2.1700,17.0996,16.3692
2.1800,17.1203,16.3862
2.1900,17.1404,16.4029
2.2000,17.1600,16.4192
2.2100,17.1791,16.4352
2.2200,17.1976,16.4509
2.2300,17.2156,16.4663
2.2400,17.2331,16.4813
2.2500,17.2500,16.4961
2.2600,17.2664,16.5105
2.2700,17.2823,16.5247
2.2800,17.2976,16.5385
2.2900,17.3124,16.5521
2.3000,17.3267,16.5653
2.3100,17.3404,16.5783
2.3200,17.3536,16.5909
2.3300,17.3663,16.6033
2.3400,17.3784,16.6155
2.3500,17.3900,16.6273
2.3600,17.4011,16.6389
2.3700,17.4116,16.6502
2.3800,17.4216,16.6613
2.3900,17.4311,16.6721
2.4000,17.4400,16.6826
2.4100,17.4484,16.6929
2.4200,17.4563,16.7029
2.4300,17.4636,16.7128
2.4400,17.4704,16.7223
2.4500,17.4767,16.7317
2.4600,17.4824,16.7408
2.4700,17.4876,16.7497
2.4800,17.4923,16.7583
2.4900,17.4964,16.7668
2.5000,17.5000,16.7750
2.5100,17.5031,16.7830
2.5200,17.5056,16.7908
2.5300,17.5076,16.7984
2.5400,17.5091,16.8059
2.5500,17.5100,16.8131
2.5600,17.5104,16.8201
2.5700,17.5103,16.8270
2.5800,17.5096,16.8336
2.5900,17.5084,16.8401
2.6000,17.5067,16.8464
2.6100,17.5044,16.8525
2.6200,17.5016,16.8585
2.6300,17.4983,16.8643
2.6400,17.4944,16.8700
2.6500,17.4900,16.8754
2.6600,17.4851,16.8808
2.6700,17.4796,16.8860
2.6800,17.4736,16.8910
2.6900,17.4671,16.8959
2.7000,17.4600,16.9007
2.7100,17.4524,16.9053
2.7200,17.4443,16.9099
2.7300,17.4356,16.9142
2.7400,17.4264,16.9185
2.7500,17.4167,16.9227
2.7600,17.4064,16.9267
2.7700,17.3956,16.9306
2.7800,17.3843,16.9344
2.7900,17.3724,16.9382
2.8000,17.3600,16.9418
2.8100,17.3471,16.9453
2.8200,17.3336,16.9488
2.8300,17.3196,16.9521
2.8400,17.3051,16.9554
2.8500,17.2900,16.9586
2.8600,17.2744,16.9617
2.8700,17.2583,16.9648
2.8800,17.2416,16.9678
2.8900,17.2244,16.9707
2.9000,17.2067,16.9736
2.9100,17.1884,16.9764
2.9200,17.1696,16.9792
2.9300,17.1503,16.9819
2.9400,17.1304,16.9846
2.9500,17.1100,16.9872
2.9600,17.0891,16.9898
2.9700,17.0676,16.9924
2.9800,17.0456,16.9950
2.9900,17.0231,16.9975
3.0000,17.0000,17.0000
3.0100,17.0214,17.0025
3.0200,17.0427,17.0050
3.0300,17.0639,17.0074
3.0400,17.0850,17.0099
3.0500,17.1061,17.0123
3.0600,17.1270,17.0147
3.0700,17.1479,17.0171
3.0800,17.1687,17.0195
3.0900,17.1894,17.0219
3.1000,17.2100,17.0243
3.1100,17.2305,17.0266
3.1200,17.2510,17.0289
3.1300,17.2713,17.0312
3.1400,17.2916,17.0335
3.1500,17.3118,17.0358
3.1600,17.3319,17.0381
3.1700,17.3519,17.0404
3.1800,17.3718,17.0426
3.1900,17.3917,17.0448
3.2000,17.4114,17.0470
3.2100,17.4311,17.0492
3.2200,17.4507,17.0514
3.2300,17.4702,17.0536
3.2400,17.4896,17.0557
3.2500,17.5089,17.0579
3.2600,17.5282,17.0600
3.2700,17.5473,17.0621
3.2800,17.5664,17.0642
3.2900,17.5854,17.0663
3.3000,17.6043,17.0684
3.3100,17.6231,17.0704
3.3200,17.6418,17.0725
3.3300,17.6605,17.0745
3.3400,17.6790,17.0765
3.3500,17.6975,17.0785
3.3600,17.7159,17.0805
3.3700,17.7342,17.0825
3.3800,17.7524,17.0844
3.3900,17.7705,17.0864
3.4000,17.7886,17.0883
3.4100,17.8065,17.0902
3.4200,17.8244,17.0921
3.4300,17.8422,17.0940
3.4400,17.8599,17.0959
3.4500,17.8775,17.0978
3.4600,17.8950,17.0996
3.4700,17.9125,17.1015
3.4800,17.9298,17.1033
3.4900,17.9471,17.1051
3.5000,17.9643,17.1069
3.5100,17.9814,17.1087
3.5200,17.9984,17.1104
3.5300,18.0153,17.1122
3.5400,18.0322,17.1139
3.5500,18.0489,17.1156
3.5600,18.0656,17.1174
3.5700,18.0822,17.1191
3.5800,18.0987,17.1207
3.5900,18.1151,17.1224
3.6000,18.1314,17.1241
3.6100,18.1477,17.1257
3.6200,18.1638,17.1274
3.6300,18.1799,17.1290
3.6400,18.1959,17.1306
3.6500,18.2118,17.1322
3.6600,18.2276,17.1338
3.6700,18.2433,17.1353
3.6800,18.2590,17.1369
3.6900,18.2745,17.1384
3.7000,18.2900,17.1400
3.7100,18.3054,17.1415
3.7200,18.3207,17.1430
3.7300,18.3359,17.1445
3.7400,18.3510,17.1460
3.7500,18.3661,17.1474
3.7600,18.3810,17.1489
3.7700,18.3959,17.1503
3.7800,18.4107,17.1517
3.7900,18.4254,17.1532
3.8000,18.4400,17.1546
3.8100,18.4545,17.1559
3.8200,18.4690,17.1573
3.8300,18.4833,17.1587
3.8400,18.4976,17.1600
3.8500,18.5118,17.1614
3.8600,18.5259,17.1627
3.8700,18.5399,17.1640
3.8800,18.5538,17.1653
3.8900,18.5677,17.1666
3.9000,18.5814,17.1679
3.9100,18.5951,17.1692
3.9200,18.6087,17.1704
3.9300,18.6222,17.1717
3.9400,18.6356,17.1729
3.9500,18.6489,17.1741
3.9600,18.6622,17.1753
3.9700,18.6753,17.1765
3.9800,18.6884,17.1777
3.9900,18.7014,17.1788
4.0000,18.7143,17.1800
4.0100,18.7271,17.1811
4.0200,18.7398,17.1823
4.0300,18.7525,17.1834
4.0400,18.7650,17.1845
4.0500,18.7775,17.1856
4.0600,18.7899,17.1867
4.0700,18.8022,17.1878
4.0800,18.8144,17.1888
4.0900,18.8265,17.1899
4.1000,18.8386,17.1909
4.1100,18.8505,17.1919
4.1200,18.8624,17.1929
4.1300,18.8742,17.1939
4.1400,18.8859,17.1949
4.1500,18.8975,17.1959
4.1600,18.9090,17.1969
4.1700,18.9205,17.1978
4.1800,18.9318,17.1988
4.1900,18.9431,17.1997
4.2000,18.9543,17.2006
4.2100,18.9654,17.2016
4.2200,18.9764,17.2024
4.2300,18.9873,17.2033
4.2400,18.9982,17.2042
4.2500,19.0089,17.2051
4.2600,19.0196,17.2059
4.2700,19.0302,17.2068
4.2800,19.0407,17.2076
